Time,Population,Surfactant
12.3255814,7.773584906,0.541176471
23.95348837,8.490566038,1.070588235
36.04651163,8.301886792,1.635294118
48.13953488,9.924528302,2.2
59.76744186,10.49056604,2.341176471
71.86046512,8.943396226,2.482352941
83.95348837,8.566037736,3.047058824
96.04651163,9.056603774,3.629411765
107.6744186,8.339622642,4.017647059
119.7674419,8.226415094,4.405882353
131.8604651,6.754716981,3.964705882
143.9534884,7.320754717,3.523529412
155.5813953,6.754716981,3.488235294
167.6744186,7.811320755,3.488235294
